id,name,civilization_id,id_ruling_ethnicity,id_ruling_language,id_ruling_religion,government,territories,start_year,end_year,policies,note
kingdom_of_urartu,Kingdom of Urartu,,caucasian_peoples,aramaic,zoroastrianism,feudal_monarchy,caucasus,-860,-590,,The Iron Age kingdom centered on Lake Van (modern eastern Turkey/Armenia). Urartu was a major rival of the Neo-Assyrian Empire for control of the Armenian Highlands. Known for impressive metalwork (Urartian bronzes) and large-scale irrigation systems. Destroyed by the Scythian/Median coalition around 590 BCE. The Armenian people are their cultural successors.
carthage,Carthage (Phoenician City-State),,phoenician,phoenician_punic,phoenician_religion,oligarchy,north_africa,-814,-146,,Founded by Phoenicians from Tyre. Dominated western Mediterranean trade. The three Punic Wars against Rome (264–146 BCE) were among the most consequential conflicts in ancient history. Hannibal Barca's crossing of the Alps (218 BCE) nearly destroyed Rome. Carthage was razed in 146 BCE; later refounded as a Roman colony.
macedonian_kingdom,Macedonian Kingdom,,ancient_greek,ancient_greek,greek_paganism,monarchy,balkans,-808,-168,,
cimmerian_scythian_nomads,Cimmerian / Scythian nomads,,scythian,,scythian_religion,tribal_confederation,caucasus|pontic_steppe,-800,-300,,
roman_kingdom,Roman Kingdom,,roman,latin,roman_paganism,monarchy,italy,-753,-509,,
dahae,Dahae,,central_asian_steppe_bloc,,,tribal_confederation,central_asian_steppe|khorasan,-700,-200,,
donghu,Donghu,,central_asian_steppe_bloc,,,tribal_confederation,manchuria|mongolian_plateau,-700,-209,,
scythian,Scythian / Sarmatian steppe fringe,,scythian,,scythian_religion,tribal_confederation,pontic_steppe|iran_plateau,-700,-200,,
median_kingdom,Median Kingdom,,median,median,zoroastrianism,feudal_monarchy,iran_plateau|caucasus,-678,-550,,
meroitic_kingdom,Kingdom of Meroe (Meroitic Kingdom),,cushitic_cluster,old_egyptian,egyptian_religion,divine_monarchy,nubia,-656,350,,"After the Kushite 25th Dynasty was expelled from Egypt by the Assyrians (-656), Nubian power retreated south to Meroe on the Nile. Meroe developed a distinct civilisation with its own undeciphered script (Meroitic), iron smelting industry, and distinctive pyramid style (steeper than Egyptian). Ruled by queen-regents (Kandakes) alongside or instead of kings. Fell to the Aksumite kingdom of Ethiopia around 350 CE."
neo_babylonian,Neo-Babylonian (Chaldean) Empire,,babylonian,akkadian,mesopotamian_religion,imperial_monarchy,mesopotamia|levant,-626,-539,,Nebuchadnezzar II; Chaldean dynasty deliberately revived ancient Babylonian identity
celts,Celts,,celtic_peoples,,celtic_paganism,tribal_confederation,iberia|gaul,-600,-200,,
achaemenid_empire,Achaemenid Empire,,persian,old_persian,zoroastrianism,imperial_monarchy,iran_plateau|khorasan|anatolia|mesopotamia|levant|egypt|transoxiana,-550,-330,cyrus_tolerance,Used Aramaic as the administrative lingua franca but Persian was the dynastic identity; Cyrus was notably religiously tolerant
roman_republic,Roman Republic,,roman,latin,roman_paganism,republic,italy|balkans|north_africa|iberia|gaul,-509,-27,,
tupi_guarani,Tupí-Guaraní Peoples,,tupi,,indigenous_american_traditions,tribal_confederation,amazonia,-500,1600,,Coastal and Amazonian Brazil
zapotec,Zapotec (Monte Albán),,mesoamerican_cluster,,indigenous_american_traditions,city_state,mesoamerica,-500,900,,Oaxacan civilization
kingdom_of_epirus,Kingdom of Epirus,,ancient_greek,ancient_greek,greek_paganism,monarchy,balkans,-470,-167,,
illyrian_kingdom,Illyrian Kingdom,,ancient_european,,,monarchy,balkans,-400,-168,,
nanda_empire,Nanda Empire,,indo_aryan_cluster,prakrit_dialects,hinduism,imperial_monarchy,ganges_plain,-345,-322,,"The Nanda dynasty united most of northern India under Mahapadma Nanda. Enormous army reportedly of 200,000 infantry. Overthrown by Chandragupta Maurya with the guidance of Chanakya (Kautilya)."
macedonian_empire,Macedonian Empire (Alexander),,ancient_greek,ancient_greek,greek_paganism,imperial_monarchy,anatolia|levant|egypt|mesopotamia|iran_plateau|khorasan|transoxiana,-336,-323,,
maurya_empire,Maurya Empire,,indo_aryan_cluster,classical_sanskrit,hinduism,imperial_monarchy,ganges_plain|indus_valley|punjab|deccan,-322,-185,,Ashoka converted to Buddhism and propagated it across Asia — a major religious shift mid-dynasty that changed the empire's entire ideological character
seleucid_empire,Seleucid Empire,,ancient_greek,koine_greek,greek_paganism,imperial_monarchy,anatolia|levant|mesopotamia|iran_plateau,-312,-63,,
lysimachus,Lysimachus,,ancient_greek,ancient_greek,greek_paganism,monarchy,balkans|anatolia,-306,-281,,
ptolemaic_egypt,Ptolemaic Kingdom,,ancient_greek,koine_greek,greek_paganism,absolute_monarchy,egypt|levant,-305,-30,,"Greek-speaking Macedonian rulers adopted Egyptian royal titles and iconography for legitimacy, but the court was Hellenic"
belgae,Belgae,,celtic_peoples,gaulish,celtic_paganism,tribal_confederation,gaul,-300,-50,,
chera_dynasty,Chera Dynasty,,dravidian_cluster,tamil,hinduism,monarchy,deccan,-300,1102,,One of the three crowned Tamil kings of the Sangam period alongside the Cholas and Pandyas. Controlled Kerala and western Tamil Nadu. The later Chera Perumals of Mahodayapuram (9th-12th c.) patronised both Hinduism and Buddhism.
chola_empire,Chola Empire,,dravidian_cluster,tamil,hinduism,imperial_monarchy,deccan,-300,1279,,"One of the longest-ruling dynasties in world history. The medieval Chola Empire under Rajaraja I and Rajendra I (985–1044) built a maritime empire spanning Sri Lanka, the Maldives, and Southeast Asia. The Chola navy was one of the most powerful in the Indian Ocean. Temples at Thanjavur and Gangaikondacholapuram are UNESCO World Heritage Sites."
pandya_dynasty,Pandya Dynasty,,dravidian_cluster,tamil,hinduism,monarchy,deccan,-300,1345,,Ancient Tamil dynasty centred on Madurai. One of the three crowned kings of the Sangam period alongside the Cholas and Cheras. Marco Polo visited the Pandya kingdom in the 13th century. Defeated by the Delhi Sultanate's Malik Kafur expedition (1311) and the Madurai Sultanate.
yuezhi,Yuezhi,,central_asian_steppe_bloc,,,tribal_confederation,central_asian_steppe|transoxiana,-300,-130,,
mauretania_kingdom,Mauretania Kingdom,,berber_amazigh_cluster,berber,,monarchy,north_africa,-285,40,,
greco_bactrian_kingdom,Greco-Bactrian Kingdom,,ancient_greek,ancient_greek,greek_paganism,monarchy,transoxiana|khorasan,-256,-125,,Hellenistic successor state in Central Asia. Founded when Diodotus I declared independence from the Seleucids. Controlled Bactria and at times parts of Sogdiana and Gandhara. Remarkable fusion of Greek and Central Asian culture. Fell to Yuezhi/Saka invasions.
parthian_empire,Parthian Empire (Arsacid),,parthian,parthian,zoroastrianism,feudal_monarchy,iran_plateau|mesopotamia|khorasan,-247,224,,"Highly decentralized; Hellenized early, then reverted to Iranian/Zoroastrian identity"
satavahana_empire,Satavahana Empire,,dravidian_cluster,pali,hinduism,imperial_monarchy,deccan,-230,220,,First great Deccan empire; established the bridge between northern Aryan and southern Dravidian cultures. Patronised both Hinduism and Buddhism. Their trade networks stretched to Rome.
qin_dynasty,Qin Dynasty,,han_chinese,old_chinese,chinese_folk_religion,imperial_monarchy,yellow_river|yangtze,-221,-206,,State philosophy was Legalism — entirely different from Confucianism. Qin's brutal efficiency unified China but was ideologically rejected by every subsequent dynasty
xiongnu,Xiongnu Confederation,,turkic_cluster,old_turkic_orkhon_runic,tengrism,khaganate,mongolian_plateau|central_asian_steppe,-209,93,,
han_dynasty,Han Dynasty,,han_chinese,old_chinese,confucianism,chinese_imperial,yellow_river|yangtze,-206,220,,Established Confucianism as state ideology and the civil examination system — the template all later Chinese dynasties followed
numidia,Kingdom of Numidia,,berber_amazigh_cluster,berber,ancient_near_eastern_religion,monarchy,north_africa,-202,-46,,Berber kingdom in North Africa (modern Algeria). Massinissa unified Numidia as a Roman ally against Carthage. His descendant Jugurtha fought the Jugurthine War against Rome (112–106 BCE). Julius Caesar annexed Numidia after defeating the Pompeians at Thapsus (46 BCE).
western_han,Western Han,,han_chinese,old_chinese,confucianism,chinese_imperial,yellow_river|yangtze,-202,9,,
germanic_tribes,Germanic tribes,,germanic_cluster,,germanic_paganism,tribal_confederation,germany|bohemia,-200,500,,
indo_scythian_kingdom,Indo-Scythian Kingdom,,scythian,prakrit_dialects,buddhism,monarchy,indus_valley|punjab,-200,400,,Saka (Scythian) rulers who displaced the Indo-Greeks. The Western Satraps and Northern Satraps were the major branches. Patronised Buddhism and used Greek-derived scripts. Azes I established the Azes era (c.47 BCE) used in dating.
kangju,Kangju,,central_asian_steppe_bloc,,,monarchy,transoxiana|central_asian_steppe,-200,400,,
wusun,Wusun,,central_asian_steppe_bloc,,tengrism,tribal_confederation,central_asian_steppe,-200,400,,
kingdom_of_armenia,Kingdom of Armenia,,caucasian_peoples,classical_armenian_grabar,zoroastrianism,feudal_monarchy,caucasus,-190,428,,The Artaxiad (Artashesian) dynasty founded the first unified Armenian state after Antiochus III's defeat by Rome. Tigranes II briefly created an Armenian empire stretching from Caspian to Mediterranean. Armenia was the first nation to adopt Christianity as state religion (301 CE). The kingdom oscillated between Roman and Parthian/Sassanid spheres until partitioned in 428.
shunga_dynasty,Shunga Dynasty,,indo_aryan_cluster,classical_sanskrit,hinduism,imperial_monarchy,ganges_plain,-185,-73,,Founded by Pushyamitra Shunga after assassinating the last Maurya emperor. Patronised Brahmanical Hinduism and Sanskrit literature. Built the great stupa at Bharhut. Defended against Indo-Greek incursions from the northwest.
indo_greek_kingdom,Indo-Greek Kingdom,,ancient_greek,ancient_greek,buddhism,monarchy,punjab|indus_valley,-180,-10,,"Hellenistic kingdoms in northwestern India and Pakistan. Menander I (Milinda) was the most famous ruler — the Buddhist text Milinda Panha records his dialogues with the monk Nagasena. The Indo-Greeks introduced Hellenistic art to South Asia, foundational to Gandhara Buddhist art."
hasmonean_dynasty,Hasmonean Dynasty,,hebrew,biblical_hebrew,judaism,theocracy,levant,-140,-37,,Jewish priestly dynasty that won independence from the Seleucids through the Maccabean Revolt (167–160 BCE). Established the last independent Jewish state before modern Israel. Internal civil war invited Roman intervention (63 BCE) leading to eventual replacement by the Herodian dynasty.
nabataean_kingdom,Nabataean Kingdom,,semitic_cluster,aramaic,arabian_paganism,feudal_monarchy,arabia,-115,106,,"The Nabataeans were Arab traders who built Petra as their capital in the Jordanian desert — one of antiquity's great architectural achievements (the 'rose-red city'). They controlled the spice trade routes between Arabia, Egypt, and the Mediterranean. Annexed by the Roman Emperor Trajan as the province Arabia Petraea in 106 CE. Their distinctive Aramaic script evolved into modern Arabic script."
himyarite_kingdom,Himyarite Kingdom,,semitic_cluster,old_south_arabian,judaism,monarchy,arabia,-110,525,,Last great pre-Islamic South Arabian kingdom. Uniquely adopted Judaism as state religion under King Dhu Nuwas. His persecution of Christians at Najran (523 CE) provoked an Ethiopian (Aksumite) invasion that ended Himyarite rule and paved the way for Islam.
teotihuacan,Teotihuacan,,mesoamerican_cluster,classical_nahuatl,aztec_religion,city_state,mesoamerica,-100,550,,Classic-era Mesoamerican metropolis
dacian_kingdom,Dacian Kingdom,,thracian,dacian,ancient_near_eastern_religion,monarchy,balkans,-82,106,,Powerful kingdom in modern Romania. Burebista briefly united all Dacian tribes (82–44 BCE). Decebalus fought two major wars against Trajan (101–106 CE). Trajan's conquest and the subsequent Roman colonisation of Dacia is the origin myth of the Romanian people.
silla,Silla,,korean,old_korean,buddhism,,,-57,668,,
roman_empire,Roman Empire,,roman,latin,,imperial_monarchy,italy|anatolia|levant|egypt|balkans|iberia|gaul|north_africa,-27,395,pax_romana|edict_of_milan|edict_of_thessalonica,
indo_parthian_kingdom,Indo-Parthian Kingdom,,parthian,prakrit_dialects,buddhism,monarchy,indus_valley|punjab,-19,226,,Founded by Gondophares I in the Indus region. The Apostle Thomas reportedly visited Gondophares' court. Displaced the Indo-Scythians in parts of the northwest. Absorbed by the Kushan Empire.
baekje,Baekje,,korean,old_korean,buddhism,,,-18,660,,
kushan_empire,Kushan Empire,,central_asian_steppe_bloc,bactrian,buddhism,imperial_monarchy,transoxiana|khorasan|punjab|indus_valley|ganges_plain,30,375,,"Founded by Kujula Kadphises from the Yuezhi confederation. Kanishka I (c.127–150 CE) convened the Fourth Buddhist Council and patronised Gandhara art — the first anthropomorphic depictions of the Buddha. Controlled trade routes connecting Rome, Persia, China, and India. The empire was a crucible of Hellenistic, Iranian, Indian, and Central Asian cultures."
goguryeo,Goguryeo,,korean,old_korean,buddhism,feudal_monarchy,manchuria|korean_peninsula,37,668,,One of the Three Kingdoms of Korea; at its peak controlled northern Manchuria and the Korean peninsula north of the Han River. Repelled three massive Sui Chinese invasions (612–614) — the failure of those campaigns contributed to the Sui Dynasty's collapse. Finally destroyed by a Tang–Silla alliance in 668. Goguryeo identity is claimed by both modern Korea and China (as part of Gaogouli history).
funan,Funan (Óc Eo,,khmer,,hinduism,divine_monarchy,,50,550,,
xianbei,Xianbei,,central_asian_steppe_bloc,,tengrism,tribal_confederation,mongolian_plateau|manchuria|central_asian_steppe,93,234,,
aksumite_kingdom,Aksumite Kingdom,,cushitic_cluster,ge'ez_classical_ethiopic,christianity,monarchy,nubia,100,940,,"East African trading empire centered in modern Ethiopia/Eritrea. One of the first states to adopt Christianity (c.330 CE under King Ezana). Controlled Red Sea trade between Rome and India. Conquered the Kingdom of Kush. Mani listed it among the four great empires of his time alongside Rome, Persia, and China."
ancestral_pueblo,Ancestral Puebloans,,navajo,,indigenous_american_traditions,tribal_confederation,us_west,100,1300,,Mesa Verde and Chaco Canyon builders
free_dacians,Free Dacians / Carpi,,ancient_european,,,tribal_confederation,hungary|balkans,106,381,,
cao_wei,Cao Wei,,han_chinese,old_chinese,chinese_folk_religion,,,220,265,,
shu_han,Shu Han,,han_chinese,old_chinese,chinese_folk_religion,,,221,263,,
eastern_wu,Eastern Wu,,han_chinese,old_chinese,chinese_folk_religion,,,222,280,,
sassanid_empire,Sassanid Empire,,persian,middle_persian_pahlavi,zoroastrianism,theocracy,iran_plateau|mesopotamia|khorasan|caucasus,224,651,,Zoroastrianism as explicit state religion; Magi priestly class wielded significant power
kushano_sasanian_kingdom,Kushano-Sasanian Kingdom,,persian,middle_persian_pahlavi,zoroastrianism,monarchy,khorasan|indus_valley,230,365,,Sasanian vassal state established after the Sasanids conquered the western Kushan territories. Used the title 'Kushanshah'. Mixed Kushan and Sasanian administrative traditions. Eventually displaced by the Kidarites.
maya_city_states,"Maya City-States (Tikal, Calakmul)",,maya,mayan,,city_state,mesoamerica,250,900,,Classic Maya period
vakataka_dynasty,Vakataka Dynasty,,indo_aryan_cluster,classical_sanskrit,hinduism,monarchy,deccan,250,500,,Major Deccan dynasty allied by marriage with the Gupta Empire. Pravarasena II commissioned the Ajanta cave paintings — among the greatest masterworks of Buddhist art. Controlled the Vidarbha region of central India.
yamato_period,Yamato Period,,yamato,old_japanese,shinto_buddhism,absolute_monarchy,japanese_archipelago,250,710,,The emergence of the Yamato imperial line and the introduction of Buddhism and Chinese characters. Includes the Kofun and Asuka sub-periods.
palmyrene_empire,Palmyrene Empire,,semitic_cluster,aramaic,ancient_near_eastern_religion,monarchy,levant,260,273,,"Queen Zenobia's breakaway empire that briefly controlled Syria, Egypt, and much of Anatolia. Palmyra was a fabulously wealthy caravan city linking Rome and Persia. Defeated by the Roman Emperor Aurelian (272–273). Zenobia was paraded in golden chains through Rome."
western_jin,Western Jin Dynasty,,han_chinese,old_chinese,chinese_folk_religion,,,265,316,,
pallava_dynasty,Pallava Dynasty,,dravidian_cluster,tamil,hinduism,monarchy,deccan,275,897,,Major South Indian dynasty centred on Kanchipuram. Pioneered Dravidian temple architecture — the Shore Temple and rathas at Mahabalipuram are their masterwork. Narasimhavarman I defeated the Chalukya Pulakeshin II. Patrons of Sanskrit and Tamil literature.
lakhmid_kingdom,Lakhmid Kingdom,,arab,old_arabic,christianity,monarchy,mesopotamia,300,602,,Arab client kingdom of the Sassanid Empire based at al-Hira (Iraq). Predominantly Nestorian Christian. A buffer state and cultural bridge between Persia and Arabia. The Lakhmid court patronised pre-Islamic Arabic poetry. Abolished by the Sassanid Khosrow II.
eastern_jin,Eastern Jin Dynasty,,han_chinese,old_chinese,chinese_folk_religion,,,317,420,,
gupta_empire,Gupta Empire,,indo_aryan_cluster,classical_sanskrit,hinduism,imperial_monarchy,ganges_plain|indus_valley,320,550,,Hindu 'Golden Age'; Vaishnavism as court religion; classical Sanskrit literature and mathematics flourished
rouran_khaganate,Rouran Khaganate,,mongol,,tengrism,khaganate,mongolian_plateau|central_asian_steppe,330,555,,
makuria_kingdom,Kingdom of Makuria,,nubian,old_nubian,coptic_orthodox,monarchy,nubia,340,1364,,"Christian Nubian kingdom centred on Dongola. Defeated an Arab invasion at the Battle of Dongola (652), forcing the Baqt treaty — one of the longest-lasting peace agreements in history (~600 years). The Faras Cathedral murals are masterworks of medieval Christian art."
kadamba_dynasty,Kadamba Dynasty,,dravidian_cluster,kannada,hinduism,monarchy,deccan,345,525,,First indigenous dynasty to rule Karnataka. Founded by Mayurasharma. Established Banavasi as capital. Pioneered the use of Kannada as an administrative language. Later became feudatories of the Chalukyas.
hunnic_empire,Hunnic Empire,,central_asian_steppe_bloc,old_turkic_orkhon_runic,tengrism,khaganate,central_asian_steppe|pontic_steppe|hungary,350,453,,"Attila's confederation devastated the Roman Empire and triggered the Great Migration. The Huns are of uncertain ethnic origin (possibly Turkic, possibly mixed). Their western empire collapsed immediately after Attila's death (453)."
kamarupa_kingdom,Kamarupa Kingdom,,indo_aryan_cluster,classical_sanskrit,hinduism,monarchy,ganges_plain,350,1140,,Ancient kingdom in Assam and northeastern India. Bhaskaravarman was an ally of Harsha. Xuanzang visited and described it as a prosperous Buddhist centre. The kingdom's Pragjyotishpura (Guwahati) was a renowned centre of Tantric learning.
kidarites,Kidarites / Alchon Huns,,central_asian_steppe_bloc,,buddhism,khaganate,khorasan|transoxiana|indus_valley,350,475,,
kidarites_alchon_huns,Kidarites / Alchon Huns,,central_asian_steppe_bloc,,,khaganate,khorasan|transoxiana,350,530,,
northern_dynasties,Northern Dynasties,,han_chinese,old_chinese,buddhism,,,386,581,,
northern_wei,Northern Wei tributary,,central_asian_steppe_bloc,old_chinese,buddhism,chinese_imperial,yellow_river|mongolian_plateau|manchuria,386,535,,
shiwei,Shiwei,,central_asian_steppe_bloc,,,tribal_confederation,manchuria|mongolian_plateau,388,907,,
byzantine_empire,Byzantine Empire,,hellenic_cluster,byzantine_greek,eastern_orthodox,imperial_monarchy,anatolia|balkans|levant,395,1453,,Eastern Orthodox Christianity is inseparable from Byzantine identity; emperor as head of both church and state
western_roman_empire,Western Roman Empire,,roman,latin,catholic,imperial_monarchy,italy|balkans|iberia|gaul|north_africa,395,476,,
visigothic_kingdom,Visigothic Kingdom,,germanic_peoples,latin,catholic,feudal_monarchy,iberia,418,711,,"The Visigoths settled in southwestern Gaul (Aquitaine) as foederati in 418; after defeat by Clovis at Vouillé (507) they retreated to Iberia, making Toledo their capital. Converted from Arianism to Catholicism in 589 under Reccared — the defining event that integrated Visigothic and Hispano-Roman populations. Destroyed by the Muslim Umayyad invasion of 711."
southern_dynasties,Southern Dynasties,,han_chinese,old_chinese,chinese_folk_religion,,,420,589,,
vandal_kingdom,Vandal Kingdom of North Africa,,germanic_peoples,latin,catholic,feudal_monarchy,north_africa,429,533,,"The Vandals crossed into North Africa in 429 under Gaiseric, having previously swept through Spain. They captured Carthage in 439, making it their capital. The Vandal fleet dominated the western Mediterranean and sacked Rome in 455. 'Vandalism' as a concept derives from their reputation, though they were no more destructive than other Germanic peoples. Destroyed by the Byzantine general Belisarius in 533 in a remarkably swift campaign."
hephthalite_empire,Hephthalite Empire,,central_asian_steppe_bloc,bactrian,buddhism,tribal_confederation,transoxiana|khorasan|punjab|indus_valley,440,565,,The 'White Huns' who dominated Central and South Asia. Mihirakula was their most feared ruler in India. Defeated the Gupta Empire and the Sasanids. Destroyed by a Sasanid-Göktürk alliance c.560. Left lasting impact on the ethnic composition of Afghanistan and Pakistan.
hephthalites,Hephthalites,,central_asian_steppe_bloc,,,khaganate,khorasan|transoxiana|central_asian_steppe,440,560,,
gepid_kingdom,Gepid Kingdom,,germanic_cluster,,arianism,monarchy,hungary|balkans,454,567,,
nezak_huns,Nezak Huns,,central_asian_steppe_bloc,,,khanate,khorasan|indus_valley,475,560,,
odoacer_kingdom,Kingdom of Odoacer,,germanic_peoples,latin,catholic,feudal_monarchy,italy,476,493,,"Odoacer (Odovacer), a Germanic chieftain of Scirian/Hunnic origin, deposed the last Western Roman Emperor Romulus Augustulus on September 4, 476 — the conventional end-date of the Western Roman Empire. He ruled as King of Italy under nominal Eastern Roman suzerainty, maintaining Roman administrative structures. Defeated and killed by Theodoric the Ostrogoth at a peace banquet in Ravenna (493)."
carolingian_empire,Frankish Kingdom / Carolingian Empire,,germanic_peoples,latin,catholic,feudal_monarchy,gaul|germany|italy,486,843,carolingian_renaissance,"Clovis I unified the Franks (486) and converted to Catholic Christianity, giving the Franks papal legitimacy. Charlemagne (768–814) conquered the Saxons, Lombards, and Avars; crowned Emperor by Pope Leo III on Christmas 800. The first attempt at a unified Western European empire since Rome. Treaty of Verdun (843) split the empire into West Francia (future France), East Francia (future Germany), and Middle Francia."
ostrogothic_kingdom,Ostrogothic Kingdom of Italy,,germanic_peoples,latin,catholic,feudal_monarchy,italy,493,553,,Theodoric the Great established the most sophisticated post-Roman Germanic kingdom — a genuine synthesis of Gothic and Roman culture. He ruled through the existing Roman administrative machinery while keeping Goths as the military class. His court at Ravenna patronised art and philosophy (Boethius wrote the Consolation of Philosophy in his prison). Destroyed by the Byzantine reconquest under Justinian I (Gothic Wars 535–554).
western_wei,Western Wei / Northern Zhou tributary,,central_asian_steppe_bloc,old_chinese,buddhism,chinese_imperial,yellow_river,535,557,,
chalukya_dynasty,Chalukya Dynasty (Badami),,dravidian_cluster,classical_sanskrit,hinduism,imperial_monarchy,deccan,543,757,,The Badami Chalukyas were the first great Deccan empire. Pulakeshin II defeated Harsha's northward expansion. The dynasty split into the Western and Eastern Chalukyas. Rock-cut cave temples at Badami and Aihole represent early Dravidian and Nagara architecture.
tiwanaku,Tiwanaku,,aymara,,indigenous_american_traditions,divine_monarchy,andes,550,1000,,Andean highland civilization
first_turkic_khaganate,First Türkic Empire,,turkic_cluster,old_turkic_orkhon_runic,tengrism,khaganate,mongolian_plateau|central_asian_steppe|khorasan,552,603,,
goktürk_khaganate,Göktürk Khaganate,,turkic_cluster,old_turkic_orkhon_runic,tengrism,khaganate,mongolian_plateau|central_asian_steppe|transoxiana,552,744,,
avar_khaganate,Avar Khaganate,,central_asian_steppe_bloc,old_turkic_orkhon_runic,tengrism,khaganate,hungary|central_asian_steppe,568,804,,Avars (steppe nomads of uncertain Mongolian/Turkic origin) conquered the Carpathian basin in 568 after the Lombards left for Italy. They raided Byzantium and the Frankish kingdoms repeatedly. Charlemagne destroyed the Avar state in a series of campaigns (791-796) and dismantled their treasury ('the Ring').
lombard_kingdom,Kingdom of the Lombards,,germanic_peoples,latin,catholic,feudal_monarchy,italy,568,774,,"The Lombards (Langobards) invaded northern Italy in 568, exploiting the devastation left by the Gothic Wars. Unlike the Ostrogoths, they did not attempt to preserve Roman structures — their conquest was destructive and their integration slow. By the 8th century they had converted from Arianism to Catholicism and were partially Romanised. Pope Stephen II invited Charlemagne's father Pippin III, then Charlemagne himself (773–774), to defeat the Lombards; Charlemagne dissolved the kingdom and added 'King of the Lombards' to his titles."
sui_dynasty,Sui Dynasty,,han_chinese,middle_chinese,buddhism,chinese_imperial,yellow_river|yangtze,581,618,,Buddhism was a major state religion alongside Confucianism; Sui rulers were devout Buddhists
